MEMBER,,TYPE,TEXT,規格書
IMR073,已下載,RPG,普銷送貨揀料彙總表 (SCREEN CHECK),
IMR0731,已下載,RPG,普銷送貨揀料彙總表 (PRINT REPORTS),
IMR0732,已下載,RPG,普銷送貨揀料彙總表 (PRINT REPORTS),
IMR074,已下載,RPG,普銷淨出貨表 (SCREEN CHECK),
IMR0741,已下載,RPG,普銷淨出貨表 (PRINT REPORTS),
IMR075,已下載,RPG,收貨未確認明細表 (SCREEN CHECK),
IMR0751,已下載,RPG,收貨未確認明細表 (PRINT REPORTS),
IMR0752,已下載,RPG,收貨未確認明細表 (PRINT REPORTS),
IMR076,已下載,RPG,產品存量分佈明細表 (SCREEN CHECK),
IMR0761,已下載,RPG,產品存量分佈明細表 (PRINT REPORTS),
IMR0762,已下載,RPG,產品存量分佈明細表 (PRINT REPORTS),
IMR077,已下載,RPG,調撥單列印（套表） (SCREEN CHECK),
IMR0771,已下載,RPG,調撥單列印（套表） (PRINT REPORTS),
IMR078,已下載,RPG,單位成本移動平均變動表 (SCREEN CHECK),
IMR0781,已下載,RPG,單位成本移動平均變動表 (WRITE TO WORK FILE),
IMR0781J,已下載,RPG,單位成本移動平均變動表 (WRITE TO WORK FILE),
IMR0782,已下載,RPG,單位成本移動平均變動表 (PRINT REPORTS),
IMR079,已下載,RPG,年終與月結成本差異表,
IMR0791,已下載,RPG,年終與月結成本差異表 (REPORT),
IMR080,已下載,RPG,存貨明細帳 (SCREEN CHECK),
IMR0801,已下載,RPG,存貨明細帳 (WRITE TO WORK FILE),
IMR0802,已下載,RPG,存貨明細帳Ａ表 (PRINT REPORTS),
IMR0803,已下載,RPG,存貨明細帳Ｂ表 (PRINT REPORTS),
IMR081,已下載,RPG,產品庫存量表－含專櫃＆在途量 (SCREEN CHECK),
IMR0811,已下載,RPG,產品庫存量表－含專櫃＆在途量 (WORK FILE),
IMR0812,已下載,RPG,產品庫存量表－含專櫃＆在途量 (PRINT REPORTS),
IMR082,已下載,RPG,ROLLING FORECAST (SCREEN CHECK),
IMR0821,已下載,RPG,FORECAST (WRITE WORK FILE)                      2,
IMR0822,已下載,RPG,ROLLING FORECAST (PRINT REPORTS),
IMR083,已下載,RPG,送貨未確認明細表 (SCREEN CHECK)             A1139,
IMR0831,已下載,RPG,送貨未確認明細表 (PRINT REPORTS)            A1139,
IMR0832,已下載,RPG,送貨未確認明細表 (PRINT REPORTS)            A1139,
IMR0833,已下載,RPG,送貨未確認明細表 (PRINT REPORTS)            A1139,
IMR0851,已下載,RPG,產品庫存報表,
IMR0852,已下載,RPG,產品庫存報表,
IMR0853,已下載,RPG,產品庫存報表,
IMR0854,已下載,RPG,產品庫存報表,
IMR0855,已下載,RPG,產品庫存報表,
